Santa Catarina | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Abdon Batista,4200051,abdonense,LUCIMAR ANTONIO SALMORIA,237.517,2598,10.94,2629,100,0.694,33.33,48387430.76,39500560.8,44644.04,
Abelardo Luz,4200101,abelardense,NERCI SANTIN,953.992,17392,18.23,17767,99.69,0.696,23.17,151291144.53,141286192.81,62434.34,
Agrol&acirc;ndia,4200200,agrolandense,GIANFRANCO CHRISTIANO MOHR,206.815,10990,53.14,11646,99.47,0.725,-,81574553.17,74828047.78,45141.98,
Agron&ocirc;mica,4200309,agronomense,VOLNEI RODRIGUES,129.774,6055,46.66,6511,98.98,0.741,-,52327681.35,47150921.13,46144.62,
&Aacute;gua Doce,4200408,&aacute;gua-docense,GIOVANI LUIZ BRANDALISE,1327.911,6508,4.93,6587,99.03,0.698,23.26,96999971.85,84268447.04,114906.54,
&Aacute;guas de Chapec&oacute;,4200507,aguense,OSCAR BARELA,139.511,6036,43.27,6123,100,0.713,14.29,48598366.15,42487013.12,39866.36,
&Aacute;guas Frias,4200556,&aacute;guasfriense,WESLEY TERRIBILE,76.631,2839,37.05,3000,99.37,0.745,-,41508838.86,37708388.32,64576.26,
&Aacute;guas Mornas,4200606,&aacute;guas-mornense,PEDRO FRANCISCO GARCIA,326.660,6743,20.64,7193,98.6,0.723,-,55351396.33,52015352.71,41790.33,
Alfredo Wagner,4200705,alfredense,GILMAR SANI,733.489,10481,14.29,10963,99.58,0.668,10.99,57693608.95,53815599.9,39575.1,
Alto Bela Vista,4200754,bela-vistense,ADIR FLAVIO SVIDERSKEI,103.433,1856,17.94,1847,100,0.755,-,38820916.3,46756998.41,50653.03,
Anchieta,4200804,anchietense,MOACIR PEDRO PIOVEZANI,232.348,5943,25.58,5955,100,0.699,-,49890552.55,47202310.85,43982.06,
Angelina,4200903,angelinense,ELISEU JOSE COELHO,499.998,5358,10.72,5484,98.96,0.687,22.22,50507192.45,45411810.94,35883.15,
Anita Garibaldi,4201000,anita-garibaldense,HENRIQUE MENEGAZZO,589.812,8285,14.05,8339,99.65,0.688,-,63445203.23,55598608.54,30354.97,
Anit&aacute;polis,4201109,anitapolitano,SOLANGE BACK,540.636,3593,6.65,3761,96.42,0.674,-,41705535.41,35386927.29,32675.41,
Ant&ocirc;nio Carlos,4201208,ant&ocirc;nio-carlense,ON&Eacute;LIO RICHARTZ,234.422,11224,47.88,12464,99.73,0.749,23.44,97165335.75,89001967.53,103625.46,
Api&uacute;na,4201257,apiunense,MARCELO DOUTEL DA SILVA,493.490,9811,19.88,10041,100,0.708,7.14,91433005.89,78418287.67,52044.62,
Arabut&atilde;,4201273,arabutanense,OLGUIN RICARDO METZ,132.585,4378,32.97,4505,100,0.733,23.81,63447080.28,54457767.63,91494.05,
Araquari,4201307,araquariense,LUDGERO JASPER JUNIOR,386.693,45283,117.10,52079,97.65,0.703,5.07,475175645.27,410071390.71,218625.97,
Ararangu&aacute;,4201406,araranguaense,C&Eacute;SAR ANTONIO CESA,301.806,71922,238.30,76611,99.44,0.760,13.56,359577805.82,357952618.84,42033.03,
Armaz&eacute;m,4201505,armazenense,LUIZ PAULO RODRIGUES MENDES,173.958,8834,50.78,9289,99.35,0.770,8.55,65096408.81,62492683.04,38902.9,
Arroio Trinta,4201604,arroio-trintense,ANTONIO SERIGHELLI,93.530,3556,38.02,3634,95.83,0.764,25,50047743.21,42522439.59,43390.71,
Arvoredo,4201653,arvoredense,AGENOR JOSE ZANCO,90.503,2510,27.73,2623,100,0.715,-,41328738.03,35373508.35,77525.09,
Ascurra,4201703,ascurrense,ARAO JOSINO DA SILVA,112.884,8319,73.70,8720,87.98,0.742,9.71,55722362.64,49177149.52,37889.42,
Atalanta,4201802,atalantense,CLAUDIO VOLNEI SENS,94.383,3227,34.19,3265,98.47,0.733,19.61,38014379.06,32198216.32,45477.34,
Aurora,4201901,aurorense,VANDERLEI ZANDONAI,207.045,6780,32.75,7241,100,0.733,9.62,63661337.15,60349146.03,69027.75,
Balne&aacute;rio Arroio do Silva,4201950,arroio-silvense,EVANDRO SCAINI,94.315,15820,167.45,17786,97.1,0.746,18.29,99592483.09,91392146.34,19096.17,
Balne&aacute;rio Cambori&uacute;,4202008,balneocamboriuense,JULIANA PAVAN VON BORSTEL,45.214,139155,3077.70,151674,97.81,0.845,7.86,1865980258.16,1820267490.61,64707.5,
Balne&aacute;rio Barra do Sul,4202057,barrassulense,ADEMAR HENRIQUE BORGES,108.914,14912,136.92,16953,99.63,0.716,5.92,115513785.19,114382103.7,21567.13,
Balne&aacute;rio Gaivota,4202073,gaivotense,EVERALDO DOS SANTOS,146.834,15669,106.71,17986,98.96,0.728,4.9,108491983.14,102502247.53,19712.12,
Bandeirante,4202081,bandeirantense,EDER LUIZ MARCON,148.074,3144,21.23,3265,100,0.672,47.62,40585323.16,33634389.38,41418.43,
Barra Bonita,4202099,barrabonitense,AGNALDO DERESZ,92.934,1668,18.02,1642,100,0.701,-,34827457.78,29384264.25,39691.78,
Barra Velha,4202107,barra-velhense,DANIEL PONTES DA CUNHA,138.947,45369,326.52,52860,98.05,0.738,15.44,341762252.72,283827884.67,54409.5,
Bela Vista do Toldo,4202131,bela vistense,FRANCISCO CARLOS SCHIESSL,535.682,5872,10.96,5939,100,0.675,19.23,51223173.18,41583978.29,47298.2,
Belmonte,4202156,belmontense,JAIR ANTONIO GIUMBELLI,93.852,2658,28.32,2712,100,0.705,-,38759961.06,34401851.44,32374.06,
Benedito Novo,4202206,benedito-novense,JEAN MICHEL GRUNDMANN,388.291,10520,27.09,10757,99,0.740,8.4,77037230.31,66150672.57,47226.66,
Bigua&ccedil;u,4202305,bigua&ccedil;uense,SALMIR DA SILVA,365.755,76773,209.90,83756,99.16,0.739,5.77,465085994.24,419445526.88,45892.67,
Blumenau,4202404,blumenauense,EGIDIO MACIEL FERRARI,518.635,361261,696.58,385558,98.98,0.806,10.16,3007233595.32,3013593288.02,68847.51,
Bocaina do Sul,4202438,bocainense,JO&Atilde;O EDUARDO DELLA JUSTINA,510.673,3515,6.88,3639,100,0.647,18.18,42215425.69,35405840.65,41275.58,
Bombinhas,4202453,bombinense,ALEXANDRE DA SILVA,35.143,25058,713.03,28738,98.57,0.781,17.49,327554305.07,294745412.51,47045.57,
Bom Jardim da Serra,4202503,bom-jardinense,PEDRO LUIZ OSTETTO,938.516,4026,4.29,3995,99.18,0.696,-,49844028.84,44444310.83,84150.09,
Bom Jesus,4202537,bonjesuense,VILMAR PECCINI,63.883,2777,43.47,2896,98.58,0.718,-,36844944.96,34794391.32,67645.61,
