"Tabela 10295 - Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a), valor do rendimento domiciliar mensal per capita, médio e mediano, por sexo, cor ou raça e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) (Reais)"
"Nível";"Cód.";"Município";"Grupo de idade";"Ano x Sexo x Cor ou raça"
"Nível";"Cód.";"Município";"Grupo de idade";"2022"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"Total";"1210,60"
"MU";"1100023";"Ariquemes (RO)";"Total";"1458,57"
"MU";"1100031";"Cabixi (RO)";"Total";"1323,79"
"MU";"1100049";"Cacoal (RO)";"Total";"1625,88"
"MU";"1100056";"Cerejeiras (RO)";"Total";"1554,33"
"MU";"1100064";"Colorado do Oeste (RO)";"Total";"1666,54"
"MU";"1100072";"Corumbiara (RO)";"Total";"1234,62"
"MU";"1100080";"Costa Marques (RO)";"Total";"1088,06"
"MU";"1100098";"Espigão D'Oeste (RO)";"Total";"1371,66"
"MU";"1100106";"Guajará-Mirim (RO)";"Total";"1035,94"
"MU";"1100114";"Jaru (RO)";"Total";"1406,29"
"MU";"1100122";"Ji-Paraná (RO)";"Total";"1437,55"
"MU";"1100130";"Machadinho D'Oeste (RO)";"Total";"1047,39"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"981,78"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"Total";"1389,04"
"MU";"1100189";"Pimenta Bueno (RO)";"Total";"1389,70"
"MU";"1100205";"Porto Velho (RO)";"Total";"1459,81"
"MU";"1100254";"Presidente Médici (RO)";"Total";"1164,63"
"MU";"1100262";"Rio Crespo (RO)";"Total";"1244,38"
"MU";"1100288";"Rolim de Moura (RO)";"Total";"1446,88"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"Total";"1110,56"
"MU";"1100304";"Vilhena (RO)";"Total";"1650,51"
"MU";"1100320";"São Miguel do Guaporé (RO)";"Total";"1303,07"
"MU";"1100338";"Nova Mamoré (RO)";"Total";"1152,19"
